:,-,,String,String,Group,String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Tomato,Fill square,Sagittarius_serpentarius_pD2,Reptiles,Birds,Unwebbed,1,-0.352080549595228,0.0501396510091908,-0.311119556315008,-0.059709609831638,-0.124951824415636,-0.170511233889762,0.0785409030971868,-0.203910870252815,0.17615492932451,-0.157544264997791,0.249458190981717,-0.135944789763887,0.302326638398037,-0.121529756489749,0.300969284351677,-0.104432192772503,0.21195981483133,-0.0132742808270153,0.223945960874481,0.127080062708567,0.149652134984227,0.178195991067097,0.0658436067038269,0.166273247968311,0.0538738399860978,0.120337147906655,0.0840466097170061,0.0741976771162645,0.0607235327298161,0.0125912266635363,-0.0540848637781044,-0.0349757095214795,-0.221741548450743,-0.0155304158605586,-0.325125848538594,0.0330415082125762,
Tomato,Fill square,Scopus_umbretta_pD2,Reptiles,Birds,Unwebbed,1,-0.364088266793607,0.00746286227044224,-0.327013917686356,-0.050246329479064,-0.190140910537486,-0.11149797720231,-0.00388592174223853,-0.129524838370612,0.12688461721005,-0.0993021671165008,0.220254043755778,-0.0667192604341893,0.281185366661269,-0.0684807291119766,0.287232289487281,-0.0466882638055702,0.268079279843719,0.0160428976960131,0.287657994287992,0.0628978532231667,0.198681187550991,0.115657007521303,0.0881566814203432,0.147567124758784,0.0586463911877281,0.132285805201681,0.0431170415709491,0.101881983425863,-0.00827055892200012,0.0554872232813908,-0.115281731550776,0.0162651721281085,-0.245103299906509,-0.00186154442338195,-0.333849966511215,0.0104241457822926,
Tomato,Fill triang,Setifer_setosus_pD2,Mammals,Non-boreoeutherian Mammals,Unwebbed,1,-0.355916072011227,0.0270474688469548,-0.298317888801169,-0.0455590342545111,-0.151938585850224,-0.139813131509946,0.031963355973448,-0.159053112693153,0.150998129984387,-0.131119824380243,0.241594575136835,-0.157457549271445,0.304176326330801,-0.150802368259895,0.299894019699466,-0.129116813669969,0.180830959777787,-0.00547381975338174,0.185419467097622,0.16595994630669,0.12102464167507,0.197713036873277,0.0495979493382913,0.182352351149915,0.0223854032945761,0.154738975149946,0.0157050632440572,0.114841869159865,-0.0247327010891342,0.0685975735805814,-0.115841973907893,0.0323858519764153,-0.238038502998805,0.0331769249050135,-0.326762980235421,0.0273238902885155,
Tomato,Dot,Sphenodon_punctatus_mD1,Reptiles,Lepidosaurs,Unwebbed,1,-0.356564995973466,0.0423301732357032,-0.292649813828991,-0.0246505478173684,-0.12155524472124,-0.110196999003997,0.0901008185546462,-0.138590591545137,0.214623485442407,-0.128541283947796,0.290209455878148,-0.1071786328208,0.331850540232685,-0.0903995209980994,0.332139317378014,-0.0761799527129937,0.263452515858917,0.0130971138815068,0.204817046572894,0.117167453190573,0.138179332131952,0.126878165511668,0.0730686025416866,0.121803946825627,0.0676039131234629,0.103093735154843,0.0624914702148194,0.0818621246194633,0.0205476850752976,0.0585305277835691,-0.0860820735357369,0.0457248070762523,-0.228454612844,0.0391880020412311,-0.326623043405789,0.0461866442730673,
Tomato,Dot,Sphenodon_punctatus_pD1,Reptiles,Lepidosaurs,Unwebbed,1,-0.359452343954689,0.0011323129655924,-0.292504869035856,-0.0427552014991477,-0.114302421840518,-0.103997965748937,0.0847623737555419,-0.16094636856119,0.20340674778341,-0.148290919949744,0.28010122354754,-0.130882767731156,0.322954063837602,-0.11241536421663,0.323277834000861,-0.097780872689037,0.246037164013632,0.000126870146176539,0.191783324518048,0.122730878085994,0.148870232193986,0.12166169934906,0.0967609459788357,0.128764786995546,0.0689543888935433,0.118123839161924,0.0573812442961979,0.0881653206264616,0.0191726165718633,0.0419470246501251,-0.0829656054579817,0.0296986741978091,-0.228070442654498,0.0302783135321613,-0.330286460812172,0.0218525879443769,
Gold,Fill triang,Tachyglossus_aculeatus_mD1,Mammals,Non-boreoeutherian Mammals,Webbed,3.5,-0.353917825563862,-0.0874371254862251,-0.331944340774409,-0.122007309536232,-0.225550555337107,-0.16509066520703,-0.0910461317765087,-0.178896144423241,0.0165401945810198,-0.174149143696606,0.122127617693207,-0.174663146526153,0.203243507550688,-0.148697156999472,0.214805756183819,-0.122113462519069,0.157829692857611,0.0284363861620429,0.267476884371361,0.175564685929565,0.211586083086876,0.215488491935227,0.157583195349335,0.255418858553883,0.106933560462492,0.2403424056392,0.0586413917700323,0.209796816926657,0.0134278999736529,0.129410932214505,-0.076536000431372,0.0407880867569272,-0.218639674145699,-0.00487674895464723,-0.319808906973959,-0.0543640998876804,
Tomato,Fill square,Terenura_spodioptila_pD2,Reptiles,Birds,Unwebbed,1,-0.352306647580993,0.0778538397864897,-0.320187782561681,-0.0144733013590966,-0.16864681256761,-0.136921576841506,0.0484232039600419,-0.169246836108987,0.180498594500589,-0.13234705801994,0.259792233226813,-0.0706234611852703,0.306566799471071,-0.0288909425228904,0.313941993275251,-0.0168998886684471,0.268752663364969,0.0285652930468579,0.245796983141919,0.115146399714472,0.177818723917457,0.126883733097838,0.101680076955769,0.109129276183628,0.0844954526237997,0.075292632993579,0.0832402933216625,0.0347991695937659,0.0331708239475655,-0.00305896564068727,-0.0899173978709517,-0.0215084152086964,-0.241540199624656,0.00927019909133356,-0.329994772810282,0.0592753233952441,
Tomato,Fill square,Tigrisoma_lineatum_pD2,Reptiles,Birds,Unwebbed,1,-0.360772073961931,-0.00813009888388052,-0.323945044927793,-0.062555336638199,-0.189214207665836,-0.131286612390419,-0.00425969758403569,-0.1408150061808,0.122756333937052,-0.0993885161457708,0.210054677393554,-0.0746445364785306,0.264579860554565,-0.105793468119797,0.273622223996427,-0.0744165723655606,0.257497438971701,0.0269988083356642,0.279811391740322,0.0924519627210029,0.186989187780863,0.131981514813099,0.0887037555615042,0.177057175183521,0.0620753637480716,0.161044728842176,0.0498787858417667,0.127525212457766,0.000270076644480578,0.0770376482251584,-0.101013534216269,0.0230853516141933,-0.234821015324661,0.0352933238622032,-0.326223850958598,0.00334902892963431,
Tomato,Fill square,Topaza_pyra_pD2,Reptiles,Birds,Unwebbed,1,-0.373212408907415,0.0492017326566525,-0.315125606728867,-0.0144031403821769,-0.155642278124102,-0.117327439959788,0.0459398825059722,-0.151993527420026,0.169469444289179,-0.116214874945596,0.251104026679946,-0.0740210432287474,0.29776694232614,-0.0367945651754682,0.303284632551678,-0.0245632411917234,0.256519150569713,0.0190116758249698,0.260439190353785,0.0972157872306342,0.180760070367263,0.137480113000912,0.0960321201975935,0.121302664734625,0.0940636435329101,0.0936338244771037,0.0869716102502508,0.0660330205177003,0.0334921633502651,0.0372827169786741,-0.0857397008144715,0.00998979629812043,-0.237741195009973,0.0136659498705959,-0.341547045729822,0.0397665331003481,
Mediumturquoise,Fill triang,Trichechus_senegalensis_mD1,Mammals,Non-boreoeutherian Mammals,Flippered,5,-0.282868449977184,0.00870923116229267,-0.257078492110576,-0.0698858297570979,-0.159563769303621,-0.144028672208259,0.00959360430339408,-0.140772243193247,0.14633188552456,-0.167196460114763,0.254888238777653,-0.193545425517999,0.330413876543668,-0.188106238758015,0.335708679076236,-0.179977413951781,0.244634190678529,-0.00595210550176761,0.237841898428044,0.230622882181469,0.115812108491683,0.225363269173174,0.00314559977334223,0.162838739590566,-0.0102680914881049,0.130231855236988,-0.0264247411779057,0.105724968900774,-0.0714163894219248,0.0753054524829304,-0.143146893079965,0.0389063649236943,-0.222740469642213,0.0341538022646944,-0.26892030137533,0.0249239123539995,
Tomato,Fill square,Turdus_olivater_kemptoni_pD2,Reptiles,Birds,Unwebbed,1,-0.337538652686485,0.0382002341489665,-0.319053066456778,-0.0482053764531678,-0.167261751253786,-0.134509698912098,0.0397614415016735,-0.171392939243314,0.171167114276577,-0.130301949824523,0.259120947314347,-0.0809459133036908,0.307847908480854,-0.0400898132089436,0.317800949611227,-0.0283381333956284,0.284278560118588,0.0203454079634635,0.272503555131448,0.105855153337135,0.202804475835029,0.114030126535327,0.133682700016634,0.120784518773352,0.126166010941886,0.0922602549040015,0.115174873652498,0.0588095420028017,0.0616823516736394,0.0147004013019068,-0.0610116396715434,-0.0152369057392629,-0.216204443595587,-0.00536046440257628,-0.309530048912806,0.0262594659515051,
Gold,Dot,Alligator_mississippiensis_mD1,Reptiles,Crocodylians,Webbed,3,-0.343657386630793,0.0251103046191345,-0.27726117988516,-0.0298983751152462,-0.106972376240426,-0.106704174455267,0.107722181786545,-0.141702324796845,0.237425704504666,-0.12830895645486,0.310113748157828,-0.119831547535658,0.337407809520712,-0.10427168630592,0.325834785380658,-0.0786625516110797,0.280621009376967,0.0316359972764639,0.236602974629129,0.134776554965603,0.170086061037851,0.117515210480656,0.093996528353388,0.0880082888926131,0.0837933088803318,0.0756936782882836,0.0732127862110971,0.071495930460514,0.0277103821071032,0.0559446377098562,-0.0792779929556942,0.0520105950871125,-0.218055267026209,0.0374674993414527,-0.314276273302062,0.0323605919361052,
Gold,Dot,Alligator_mississippiensis_pD1,Reptiles,Crocodylians,Webbed,3.5,-0.374782620557749,-0.00150731387993487,-0.317336947239014,-0.0434980714478763,-0.144291108264763,-0.0998048139350775,0.0712418209584163,-0.126281192211035,0.197508382830029,-0.114668905433492,0.268188363359932,-0.0978001019645098,0.301766892429105,-0.0869726713419887,0.30378156663336,-0.0719849721707018,0.264548820274584,0.0266095770119377,0.202596868439112,0.119110952179525,0.177757807479066,0.108704150097304,0.139100559118363,0.104719391041784,0.12234788796336,0.0973055320488085,0.10677147594801,0.0860620031957391,0.0514379936468537,0.068184645640589,-0.0705480207461786,0.0440376362903667,-0.230064280088153,0.0253596104912221,-0.339280637852898,0.00730355879019324,
Gold,Dot,Osteolaemus_tetraspis_mD1,Reptiles,Crocodylians,Webbed,2,-0.341505205531798,0.00354720132182103,-0.293951425646999,-0.0601733303703551,-0.159427693770758,-0.138201243013099,0.0419900078791976,-0.157978056961392,0.176741949909816,-0.152694195979289,0.252603249915894,-0.15095824183644,0.279442924262033,-0.116554543661839,0.281574238109738,-0.0903440220679987,0.257069398318984,0.0258994767191867,0.195637617413084,0.136374569367252,0.144047155289156,0.155001117348692,0.0748125110705185,0.144056020202026,0.052671697935414,0.135762419258889,0.0388552780951753,0.119090643342772,-0.01607911185224,0.108788160242128,-0.12141897028916,0.0762502710783515,-0.244092038213627,0.0539527708820254,-0.318854105780359,0.0246707801683547,
Gold,Dot,Osteolaemus_tetraspis_pD1,Reptiles,Crocodylians,Webbed,3,-0.294629028077203,0.00723139043640955,-0.252481522047188,-0.050727317066736,-0.10248168846066,-0.0961865786514873,0.0956465549990214,-0.145755540914082,0.233940539367144,-0.133677998250123,0.32221445591963,-0.122363478958356,0.363435034738911,-0.109848417714833,0.363121341434267,-0.08491932871758,0.331115144842518,0.0325957082929583,0.274001470455057,0.127210436109584,0.19838306947618,0.117947190471552,0.111417370730003,0.0979861310384899,0.0934263924103261,0.0889794017572504,0.0791600373511399,0.0892108370301234,0.0296245707713551,0.0759989112428898,-0.0671988452003571,0.0441598322101489,-0.190530503475694,0.0429407551691763,-0.26870623444768,0.0180271525800915,
Tomato,Dot,Paroedura_masobe_mD1,Reptiles,Lepidosaurs,Unwebbed,1,-0.294556883978114,0.0195387020626471,-0.238474906101742,-0.0639680779816951,-0.0898166593914627,-0.147815368597932,0.101172598979607,-0.232624911121338,0.21159706974697,-0.27500305747851,0.271508615180196,-0.18368143661444,0.306583136257274,-0.108736388776841,0.29658870773893,-0.0770678858581286,0.232787693790284,0.001120922459978,0.247275412854872,0.10798279366185,0.157582162553358,0.155672081422102,0.0397025083254889,0.183619606762898,0.00528557619774887,0.168488224461046,-0.0237218579456947,0.157594885508381,-0.0652074735220084,0.122442457944847,-0.135099963407407,0.0892380188672885,-0.222412629961781,0.0571118407011668,-0.282705656511502,0.0439320368330145,
Tomato,Dot,Paroedura_masobe_pD1,Reptiles,Lepidosaurs,Unwebbed,1,-0.295168827172521,0.0319444492423709,-0.237291353871184,-0.0688962415661518,-0.0634511717712208,-0.163386112480253,0.147866062158236,-0.256084047680339,0.260213991452707,-0.26791779280103,0.288828941058503,-0.162309247332936,0.312280798177135,-0.0949502258787075,0.281615633686418,-0.0697411073980662,0.219702664200689,0.000183239763722755,0.254006303176835,0.0969644522429263,0.186277820264937,0.142121170151252,0.0839776093150622,0.187669551591085,0.0506666135389661,0.189509137905725,0.030680435402328,0.169292113099559,-0.0128012788292371,0.135108940764008,-0.0944399514255087,0.0973240464331446,-0.200597916547242,0.0588627705837803,-0.275448129257838,0.0506569557486796,
Gold,Dot,Ptychozoon_lionatum_pD1,Reptiles,Lepidosaurs,Webbed,4,-0.369616282782217,-0.0292652502321904,-0.354800689920855,-0.063482490507368,-0.22636539196226,-0.0968067490747459,-0.0295381248948487,-0.0950726979492263,0.110732578112257,-0.0635561734847093,0.210576823654895,-0.0414386230614622,0.267195337772204,-0.016591906775404,0.281458624742863,-0.00821572202617125,0.286343050724654,0.0336155446442896,0.311753361984843,0.102805376330231,0.269109029022926,0.129206980214472,0.210191240294327,0.102825291463774,0.181830800071982,0.0815485188400012,0.149633410015875,0.0651310916961016,0.0733155650535213,0.0359768291231454,-0.0653762606154479,0.0102694157903277,-0.226757924212595,-0.00735956731802467,-0.332512094335687,-0.0127517870939118,
Gold,Dot,Ptychozoon_lionatum_pD2,Reptiles,Lepidosaurs,Webbed,4,-0.37293583158109,-0.0168332604563074,-0.35777950295699,-0.0569254488993068,-0.228543046043845,-0.0981471138390664,-0.0300399019123729,-0.103041333183006,0.112142351656193,-0.0693385493937584,0.212160791461119,-0.0388372977349263,0.26926452974129,-0.0143798117348439,0.282204105509218,-0.00503654576102535,0.28327288798228,0.0329475768384276,0.307465775376744,0.0938034221284127,0.265293000337633,0.12379832458349,0.204090856956074,0.0940547252704311,0.171233233440432,0.0773126385943962,0.139807394791604,0.0573876261993323,0.0634953797036653,0.0277689809443339,-0.0721583203141773,-0.00482410629683547,-0.230714949917946,-0.0173713066582454,-0.334954480005653,-0.0165654676598753,
Gold,Dot,Tomistoma_schlegelli_mD1,Reptiles,Crocodylians,Webbed,2,-0.301083975790266,0.0376953785627586,-0.262767908034503,-0.052655127766802,-0.0900315122022719,-0.12177422236688,0.148074671248551,-0.178487467728586,0.292295038236006,-0.169097010840927,0.359891126458384,-0.135990981698955,0.361784013200241,-0.090113363328297,0.33952974466837,-0.0686184137893525,0.280612734942811,0.0104868409002524,0.23540645738071,0.102424660949912,0.160015364583873,0.110281804366918,0.072259282775552,0.0854971169448772,0.0568589434614799,0.076236293233939,0.0512220523217143,0.064550127166442,0.0135109004186505,0.0591372063064364,-0.0840241884771832,0.0751928110130796,-0.213186832276649,0.0704605005178985,-0.284859099987665,0.0594390214973384,
Gold,Dot,Tomistoma_schlegelli_pD2,Reptiles,Crocodylians,Webbed,3,-0.349997331094702,0.0045061115772396,-0.293924299885162,-0.0428215515452264,-0.11399163909682,-0.101742884741281,0.109244633473412,-0.134619632112795,0.237997589950488,-0.121601042458469,0.308883940741385,-0.0955888052847797,0.338624092472352,-0.0727468310832164,0.32806796214514,-0.052230974303507,0.270770356192891,0.0206263296726737,0.241170863324438,0.0981224937119191,0.211985827358728,0.109065633255377,0.17072648324079,0.0946714175144184,0.149082595973035,0.0851315055470739,0.131157086185429,0.0691085093273832,0.0774606249980981,0.0428420342037267,-0.0425224555678982,0.0285925616648206,-0.203660623560735,0.0279078694847859,-0.314157248133936,0.0128413226370482,